date,time,road,speed,max_speed,speed_ratio
1,0,3500007700-3500056400,45,50,0.9
1,1,3500007700-3500056400,45,50,0.9
1,2,3500007700-3500056400,47,50,0.94
1,3,3500007700-3500056400,45,50,0.9
1,4,3500007700-3500056400,42,50,0.84
1,5,3500007700-3500056400,42,50,0.84
1,6,3500007700-3500056400,39,50,0.78
1,7,3500007700-3500056400,37,50,0.74
1,8,3500007700-3500056400,39,50,0.78
1,9,3500007700-3500056400,38,50,0.76
1,10,3500007700-3500056400,37,50,0.74
1,11,3500007700-3500056400,32,50,0.64
1,12,3500007700-3500056400,38,50,0.76
1,13,3500007700-3500056400,38,50,0.76
1,14,3500007700-3500056400,0,50,0.0
1,15,3500007700-3500056400,34,50,0.68
1,16,3500007700-3500056400,36,50,0.72
1,17,3500007700-3500056400,35,50,0.7
1,18,3500007700-3500056400,33,50,0.66
1,19,3500007700-3500056400,35,50,0.7
1,20,3500007700-3500056400,39,50,0.78
1,21,3500007700-3500056400,39,50,0.78
1,22,3500007700-3500056400,38,50,0.76
1,23,3500007700-3500056400,40,50,0.8
1,0,3500007700-3500081900,45,50,0.9
1,1,3500007700-3500081900,45,50,0.9
1,2,3500007700-3500081900,47,50,0.94
1,3,3500007700-3500081900,45,50,0.9
1,4,3500007700-3500081900,42,50,0.84
1,5,3500007700-3500081900,42,50,0.84
1,6,3500007700-3500081900,39,50,0.78
1,7,3500007700-3500081900,37,50,0.74
1,8,3500007700-3500081900,39,50,0.78
1,9,3500007700-3500081900,38,50,0.76
1,10,3500007700-3500081900,37,50,0.74
1,11,3500007700-3500081900,32,50,0.64
1,12,3500007700-3500081900,38,50,0.76
1,13,3500007700-3500081900,38,50,0.76
1,14,3500007700-3500081900,0,50,0.0
1,15,3500007700-3500081900,34,50,0.68
1,16,3500007700-3500081900,36,50,0.72
1,17,3500007700-3500081900,35,50,0.7
1,18,3500007700-3500081900,33,50,0.66
1,19,3500007700-3500081900,35,50,0.7
1,20,3500007700-3500081900,39,50,0.78
1,21,3500007700-3500081900,39,50,0.78
1,22,3500007700-3500081900,38,50,0.76
1,23,3500007700-3500081900,40,50,0.8
2,0,3500007700-3500056400,44,50,0.88
2,1,3500007700-3500056400,47,50,0.94
2,2,3500007700-3500056400,47,50,0.94
2,3,3500007700-3500056400,46,50,0.92
2,4,3500007700-3500056400,48,50,0.96
2,5,3500007700-3500056400,48,50,0.96
2,6,3500007700-3500056400,40,50,0.8
2,7,3500007700-3500056400,29,50,0.58
2,8,3500007700-3500056400,33,50,0.66
2,9,3500007700-3500056400,36,50,0.72
2,10,3500007700-3500056400,35,50,0.7
2,11,3500007700-3500056400,35,50,0.7
2,12,3500007700-3500056400,35,50,0.7
2,13,3500007700-3500056400,34,50,0.68
2,14,3500007700-3500056400,0,50,0.0
2,15,3500007700-3500056400,36,50,0.72
2,16,3500007700-3500056400,37,50,0.74
2,17,3500007700-3500056400,33,50,0.66
2,18,3500007700-3500056400,33,50,0.66
2,19,3500007700-3500056400,33,50,0.66
2,20,3500007700-3500056400,38,50,0.76
2,21,3500007700-3500056400,44,50,0.88
2,22,3500007700-3500056400,47,50,0.94
2,23,3500007700-3500056400,46,50,0.92
2,0,3500007700-3500081900,44,50,0.88
2,1,3500007700-3500081900,47,50,0.94
2,2,3500007700-3500081900,47,50,0.94
2,3,3500007700-3500081900,46,50,0.92
2,4,3500007700-3500081900,48,50,0.96
2,5,3500007700-3500081900,48,50,0.96
2,6,3500007700-3500081900,40,50,0.8
2,7,3500007700-3500081900,29,50,0.58
