date,time,road,speed
1,0,3500007700-3500056400,45
1,1,3500007700-3500056400,45
1,2,3500007700-3500056400,47
1,3,3500007700-3500056400,45
1,4,3500007700-3500056400,42
1,5,3500007700-3500056400,42
1,6,3500007700-3500056400,39
1,7,3500007700-3500056400,37
1,8,3500007700-3500056400,39
1,9,3500007700-3500056400,38
1,10,3500007700-3500056400,37
1,11,3500007700-3500056400,32
1,12,3500007700-3500056400,38
1,13,3500007700-3500056400,38
1,14,3500007700-3500056400,0
1,15,3500007700-3500056400,34
1,16,3500007700-3500056400,36
1,17,3500007700-3500056400,35
1,18,3500007700-3500056400,33
1,19,3500007700-3500056400,35
1,20,3500007700-3500056400,39
1,21,3500007700-3500056400,39
1,22,3500007700-3500056400,38
1,23,3500007700-3500056400,40
1,0,3500007700-3500081900,45
1,1,3500007700-3500081900,45
1,2,3500007700-3500081900,47
1,3,3500007700-3500081900,45
1,4,3500007700-3500081900,42
1,5,3500007700-3500081900,42
1,6,3500007700-3500081900,39
1,7,3500007700-3500081900,37
1,8,3500007700-3500081900,39
1,9,3500007700-3500081900,38
1,10,3500007700-3500081900,37
1,11,3500007700-3500081900,32
1,12,3500007700-3500081900,38
1,13,3500007700-3500081900,38
1,14,3500007700-3500081900,0
1,15,3500007700-3500081900,34
1,16,3500007700-3500081900,36
1,17,3500007700-3500081900,35
1,18,3500007700-3500081900,33
1,19,3500007700-3500081900,35
1,20,3500007700-3500081900,39
1,21,3500007700-3500081900,39
1,22,3500007700-3500081900,38
1,23,3500007700-3500081900,40
2,0,3500007700-3500056400,44
2,1,3500007700-3500056400,47
2,2,3500007700-3500056400,47
2,3,3500007700-3500056400,46
2,4,3500007700-3500056400,48
2,5,3500007700-3500056400,48
2,6,3500007700-3500056400,40
2,7,3500007700-3500056400,29
2,8,3500007700-3500056400,33
2,9,3500007700-3500056400,36
2,10,3500007700-3500056400,35
2,11,3500007700-3500056400,35
2,12,3500007700-3500056400,35
2,13,3500007700-3500056400,34
2,14,3500007700-3500056400,0
2,15,3500007700-3500056400,36
2,16,3500007700-3500056400,37
2,17,3500007700-3500056400,33
2,18,3500007700-3500056400,33
2,19,3500007700-3500056400,33
2,20,3500007700-3500056400,38
2,21,3500007700-3500056400,44
2,22,3500007700-3500056400,47
2,23,3500007700-3500056400,46
2,0,3500007700-3500081900,44
2,1,3500007700-3500081900,47
2,2,3500007700-3500081900,47
2,3,3500007700-3500081900,46
2,4,3500007700-3500081900,48
2,5,3500007700-3500081900,48
2,6,3500007700-3500081900,40
2,7,3500007700-3500081900,29
2,8,3500007700-3500081900,33
2,9,3500007700-3500081900,36
2,10,3500007700-3500081900,35
2,11,3500007700-3500081900,35
2,12,3500007700-3500081900,35
2,13,3500007700-3500081900,34
2,14,3500007700-3500081900,0
2,15,3500007700-3500081900,36
