date,time,road,volume
1,0,3500007500-3500007400,69
1,1,3500007500-3500007400,68
1,2,3500007500-3500007400,35
1,3,3500007500-3500007400,34
1,4,3500007500-3500007400,72
1,5,3500007500-3500007400,334
1,6,3500007500-3500007400,743
1,7,3500007500-3500007400,945
1,8,3500007500-3500007400,1422
1,9,3500007500-3500007400,1028
1,10,3500007500-3500007400,997
1,11,3500007500-3500007400,951
1,12,3500007500-3500007400,862
1,13,3500007500-3500007400,898
1,14,3500007500-3500007400,924
1,15,3500007500-3500007400,884
1,16,3500007500-3500007400,980
1,17,3500007500-3500007400,1054
1,18,3500007500-3500007400,1029
1,19,3500007500-3500007400,611
1,20,3500007500-3500007400,424
1,21,3500007500-3500007400,405
1,22,3500007500-3500007400,298
1,23,3500007500-3500007400,156
1,0,3500007400-3500007100,69
1,1,3500007400-3500007100,68
1,2,3500007400-3500007100,35
1,3,3500007400-3500007100,34
1,4,3500007400-3500007100,72
1,5,3500007400-3500007100,334
1,6,3500007400-3500007100,743
1,7,3500007400-3500007100,945
1,8,3500007400-3500007100,1422
1,9,3500007400-3500007100,1028
1,10,3500007400-3500007100,997
1,11,3500007400-3500007100,951
1,12,3500007400-3500007100,862
1,13,3500007400-3500007100,898
1,14,3500007400-3500007100,924
1,15,3500007400-3500007100,884
1,16,3500007400-3500007100,980
1,17,3500007400-3500007100,1054
1,18,3500007400-3500007100,1029
1,19,3500007400-3500007100,611
1,20,3500007400-3500007100,424
1,21,3500007400-3500007100,405
1,22,3500007400-3500007100,298
1,23,3500007400-3500007100,156
1,0,3500007100-3500007400,87
1,1,3500007100-3500007400,52
1,2,3500007100-3500007400,41
1,3,3500007100-3500007400,36
1,4,3500007100-3500007400,59
1,5,3500007100-3500007400,118
1,6,3500007100-3500007400,383
1,7,3500007100-3500007400,396
1,8,3500007100-3500007400,714
1,9,3500007100-3500007400,815
1,10,3500007100-3500007400,890
1,11,3500007100-3500007400,945
1,12,3500007100-3500007400,871
1,13,3500007100-3500007400,1001
1,14,3500007100-3500007400,918
1,15,3500007100-3500007400,976
1,16,3500007100-3500007400,1059
1,17,3500007100-3500007400,1339
1,18,3500007100-3500007400,1168
1,19,3500007100-3500007400,641
1,20,3500007100-3500007400,396
1,21,3500007100-3500007400,366
1,22,3500007100-3500007400,220
1,23,3500007100-3500007400,129
1,0,3500007400-3500007500,87
1,1,3500007400-3500007500,52
1,2,3500007400-3500007500,41
1,3,3500007400-3500007500,36
1,4,3500007400-3500007500,59
1,5,3500007400-3500007500,118
1,6,3500007400-3500007500,383
1,7,3500007400-3500007500,396
1,8,3500007400-3500007500,714
1,9,3500007400-3500007500,815
1,10,3500007400-3500007500,890
