road,year,month,day,interval,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
새천년대로,2023,4,1,MBC > 대잠사거리,159,109,59,58,99,187,383,845,1323,1153,1044,960,1008,1158,1220,1197,1223,1337,1365,1070,967,859,611,350
새천년대로,2023,4,1,대잠사거리 > MBC,104,66,54,52,80,186,550,1006,1101,882,930,1005,1044,1067,998,1016,1057,1066,1055,780,597,490,342,193
새천년대로,2023,4,1,효자사거리 > 대잠사거리,94,54,40,44,69,174,545,964,1123,829,853,897,932,946,884,863,882,892,959,730,535,438,308,160
새천년대로,2023,4,1,대잠사거리 > 효자사거리,157,117,73,59,91,155,342,762,1153,1003,940,926,881,1049,1019,1080,1056,1160,1143,892,811,720,515,293
새천년대로,2023,4,1,포항시청 > 대잠사거리,37,29,21,23,27,224,634,766,995,566,581,598,582,665,666,694,757,861,862,477,322,305,174,111
새천년대로,2023,4,1,대잠사거리 > 포항시청,87,60,42,48,67,164,416,629,760,756,745,759,782,786,744,752,756,878,1036,704,450,372,284,151
새천년대로,2023,4,1,용흥고가 > 양학사거리,187,116,71,71,145,543,1430,2241,2694,2126,1880,1857,1777,1899,1953,1897,1878,2010,1908,1265,999,907,698,288
새천년대로,2023,4,1,양학사거리 > 용흥고가,269,195,126,118,186,355,760,1276,1722,1727,1753,1797,1819,1757,1872,2029,2116,2247,2137,1528,1357,1228,886,526
새천년대로,2023,4,1,이동고가차도 아래 > 양학사거리,293,212,139,122,165,361,739,1210,1570,1689,1686,1783,1826,1777,1855,2033,2130,2252,2116,1691,1451,1348,970,583
새천년대로,2023,4,1,양학사거리 > 이동고가차도 아래,192,125,73,79,162,588,1466,2271,2672,2131,1884,1862,1767,1884,1927,1876,1851,2011,1886,1289,1011,923,721,307
새천년대로,2023,4,1,사격장 > 용흥육교,145,101,60,66,169,448,1124,1754,2052,1625,1357,1309,1205,1378,1410,1378,1413,1528,1385,928,768,695,547,260
새천년대로,2023,4,1,용흥육교 > 사격장,174,99,55,47,98,245,748,864,952,952,1026,941,1037,1343,1382,1533,1565,1583,1604,1141,939,865,625,358
새천년대로,2023,4,1,사격장 > 우현사거리,258,198,116,123,183,455,1095,1537,1999,1855,1820,1881,1925,1854,1881,2235,2228,2279,2208,1890,1469,1377,997,589
새천년대로,2023,4,1,우현사거리 > 사격장,130,94,73,70,150,391,1195,1868,1934,1819,1566,1683,1553,1650,1603,1603,1703,1734,1587,970,880,798,586,314
새천년대로,2023,4,1,영신고 > 우현사거리,2,3,3,1,6,42,283,462,520,555,406,453,402,483,395,449,528,687,540,202,145,106,52,25
새천년대로,2023,4,1,우현사거리 > 영신고,154,101,64,95,147,334,979,1503,1534,1288,1233,1291,1258,1237,1260,1376,1476,1500,1458,1015,752,728,530,271
새천년대로,2023,4,1,우현사거리 > 포항고등학교,208,168,91,74,101,273,581,876,1293,1182,1231,1350,1328,1401,1491,1663,1850,2005,2072,1692,1287,1160,761,481
