road,year,month,day,interval,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
동해안로,2023,4,1,형산교차로 > 현대제철삼거리,45,45,47,45,42,42,39,37,39,38,37,32,38,38,0,34,36,35,33,35,39,39,38,40
동해안로,2023,4,2,형산교차로 > 현대제철삼거리,44,47,47,46,48,48,40,29,33,36,35,35,35,34,0,36,37,33,33,33,38,44,47,46
동해안로,2023,4,3,형산교차로 > 현대제철삼거리,50,53,53,54,54,46,39,28,32,36,38,38,37,38,0,36,35,36,38,38,39,38,38,45
동해안로,2023,4,4,형산교차로 > 현대제철삼거리,47,47,46,48,46,43,40,28,35,38,37,37,36,34,0,33,36,34,35,37,41,39,40,43
동해안로,2023,4,5,형산교차로 > 현대제철삼거리,51,50,45,46,42,43,38,29,33,36,36,35,36,35,0,34,34,31,31,36,38,39,43,47
동해안로,2023,4,6,형산교차로 > 현대제철삼거리,46,46,46,47,44,42,41,39,39,38,38,36,31,32,0,31,37,34,38,40,40,43,44,47
동해안로,2023,4,7,형산교차로 > 현대제철삼거리,44,51,51,53,52,50,49,45,41,39,38,38,37,37,0,38,38,37,37,38,40,41,41,45
동해안로,2023,4,8,형산교차로 > 현대제철삼거리,44,43,44,48,49,45,37,26,33,37,35,34,32,37,0,37,37,32,30,38,41,39,36,39
동해안로,2023,4,9,형산교차로 > 현대제철삼거리,42,43,42,45,45,45,41,26,31,35,36,36,37,36,0,36,35,34,33,36,38,44,46,47
동해안로,2023,4,10,형산교차로 > 현대제철삼거리,44,46,47,44,44,44,44,38,39,41,36,34,35,38,0,38,38,36,33,39,41,40,41,43
동해안로,2023,4,11,형산교차로 > 현대제철삼거리,48,50,50,51,48,46,41,27,35,35,38,37,33,35,0,36,36,35,36,39,42,40,40,42
동해안로,2023,4,12,형산교차로 > 현대제철삼거리,46,46,45,47,46,45,37,30,36,37,40,35,37,37,0,34,36,34,33,36,42,41,46,48
동해안로,2023,4,13,형산교차로 > 현대제철삼거리,47,43,44,45,46,46,41,40,40,38,38,35,35,36,0,37,36,38,36,42,42,39,46,45
동해안로,2023,4,14,형산교차로 > 현대제철삼거리,51,49,52,52,49,51,48,45,41,38,41,40,38,39,0,39,39,36,35,42,43,39,45,47
동해안로,2023,4,15,형산교차로 > 현대제철삼거리,48,45,46,46,47,45,39,30,33,39,37,33,36,36,0,35,36,34,34,37,40,39,37,38
동해안로,2023,4,16,형산교차로 > 현대제철삼거리,44,49,50,46,46,46,40,28,33,39,38,38,39,36,0,36,37,36,35,35,38,42,42,43
동해안로,2023,4,17,형산교차로 > 현대제철삼거리,45,47,48,49,47,46,39,23,31,36,33,34,36,37,0,36,37,37,34,38,41,41,43,45
동해안로,2023,4,18,형산교차로 > 현대제철삼거리,46,46,47,47,46,45,41,30,32,36,37,36,36,35,0,33,37,38,36,36,37,41,44,47
동해안로,2023,4,19,형산교차로 > 현대제철삼거리,44,47,45,43,42,45,42,28,32,37,38,36,36,35,0,36,36,34,32,38,42,40,40,45
동해안로,2023,4,20,형산교차로 > 현대제철삼거리,45,46,50,50,48,47,42,36,38,40,40,36,35,34,0,32,31,35,36,37,40,42,45,51
동해안로,2023,4,21,형산교차로 > 현대제철삼거리,46,48,48,47,48,49,52,46,42,40,41,40,40,38,0,38,38,38,38,40,44,45,48,48
동해안로,2023,4,22,형산교차로 > 현대제철삼거리,44,45,46,49,45,43,40,31,35,37,33,34,36,35,0,37,36,37,34,36,40,39,40,38
동해안로,2023,4,23,형산교차로 > 현대제철삼거리,40,43,43,44,43,44,40,30,36,39,38,38,38,36,0,35,38,37,33,42,44,44,43,46
동해안로,2023,4,24,형산교차로 > 현대제철삼거리,48,47,48,49,49,48,42,29,36,38,33,36,38,36,0,35,36,39,37,36,37,39,41,47
동해안로,2023,4,25,형산교차로 > 현대제철삼거리,46,46,46,47,46,47,44,27,34,37,38,37,38,36,0,35,35,37,35,36,42,41,41,46
동해안로,2023,4,26,형산교차로 > 현대제철삼거리,44,46,51,52,51,50,45,36,41,39,36,36,37,33,0,36,34,33,34,38,39,44,47,49
동해안로,2023,4,27,형산교차로 > 현대제철삼거리,47,47,46,47,46,46,41,36,39,41,38,36,36,34,0,34,35,37,40,38,41,42,44,45
동해안로,2023,4,28,형산교차로 > 현대제철삼거리,44,45,45,48,49,47,43,41,39,38,41,38,36,30,0,41,41,40,39,39,42,43,43,47
동해안로,2023,4,29,형산교차로 > 현대제철삼거리,43,47,47,47,46,43,39,28,37,37,28,33,33,37,0,37,38,35,34,38,39,40,42,47
동해안로,2023,4,30,형산교차로 > 현대제철삼거리,48,50,50,50,51,50,41,27,33,38,38,36,36,37,0,34,36,33,33,37,39,38,42,48
동해안로,2023,4,1,송내동36722 > 형산교차로,47,49,47,47,46,47,48,48,49,49,46,48,48,47,0,47,48,48,48,46,47,49,48,45
동해안로,2023,4,2,송내동36722 > 형산교차로,49,46,47,49,47,49,46,49,48,47,47,47,47,47,0,47,48,48,48,47,46,47,47,47
동해안로,2023,4,3,송내동36722 > 형산교차로,47,50,52,50,50,52,49,49,48,47,48,48,47,46,0,48,47,48,48,47,47,45,47,48
동해안로,2023,4,4,송내동36722 > 형산교차로,47,46,47,50,48,49,46,47,47,48,48,47,47,48,0,47,48,48,48,44,46,44,44,45
동해안로,2023,4,5,송내동36722 > 형산교차로,46,55,49,47,48,46,42,47,49,48,48,48,47,47,0,48,50,51,48,45,43,49,48,51
동해안로,2023,4,6,송내동36722 > 형산교차로,51,45,47,47,48,47,46,48,47,46,47,46,48,48,0,48,48,48,47,46,49,51,46,48
동해안로,2023,4,7,송내동36722 > 형산교차로,48,48,49,46,48,48,46,45,47,46,47,47,48,48,0,47,48,47,47,45,44,45,44,47
동해안로,2023,4,8,송내동36722 > 형산교차로,48,48,47,47,47,48,47,48,48,47,48,47,47,48,0,47,48,48,48,46,45,47,44,47
동해안로,2023,4,9,송내동36722 > 형산교차로,44,48,49,47,46,48,46,48,47,47,48,48,45,48,0,47,47,48,48,46,47,46,44,48
동해안로,2023,4,10,송내동36722 > 형산교차로,49,47,48,48,49,48,47,48,47,46,47,47,48,48,0,48,47,48,44,45,48,47,45,47
동해안로,2023,4,11,송내동36722 > 형산교차로,47,48,48,48,49,48,48,49,49,49,49,48,48,49,0,49,49,49,49,48,44,48,46,48
동해안로,2023,4,12,송내동36722 > 형산교차로,47,45,46,47,48,48,48,49,48,47,48,48,48,48,0,48,48,48,48,48,48,46,45,47
동해안로,2023,4,13,송내동36722 > 형산교차로,47,48,47,47,46,48,49,49,48,48,46,44,47,47,0,48,47,48,48,47,47,45,43,47
동해안로,2023,4,14,송내동36722 > 형산교차로,51,49,46,49,47,49,49,45,46,46,48,46,48,48,0,48,45,47,47,47,46,46,43,48
동해안로,2023,4,15,송내동36722 > 형산교차로,47,47,49,49,47,49,47,49,49,48,49,49,47,49,0,46,47,47,47,46,44,45,45,47
동해안로,2023,4,16,송내동36722 > 형산교차로,47,47,48,48,48,48,47,48,46,47,48,48,47,48,0,48,48,48,48,47,48,47,45,45
동해안로,2023,4,17,송내동36722 > 형산교차로,48,46,49,47,48,47,47,47,48,48,47,47,48,48,0,48,48,48,48,48,47,47,45,47
동해안로,2023,4,18,송내동36722 > 형산교차로,47,49,47,49,47,48,46,49,49,49,47,48,48,45,0,47,48,48,48,45,49,51,44,48
동해안로,2023,4,19,송내동36722 > 형산교차로,48,47,48,49,47,48,48,49,48,49,49,48,49,49,0,48,48,48,48,46,46,48,45,46
동해안로,2023,4,20,송내동36722 > 형산교차로,48,46,47,47,48,49,49,47,47,47,46,48,48,48,0,48,48,48,46,48,46,53,44,49
동해안로,2023,4,21,송내동36722 > 형산교차로,47,48,49,50,47,49,48,46,47,45,47,48,47,48,0,44,47,47,46,47,42,46,44,46
동해안로,2023,4,22,송내동36722 > 형산교차로,48,48,49,48,47,47,47,48,47,48,48,48,47,47,0,48,47,48,48,45,48,48,43,46
동해안로,2023,4,23,송내동36722 > 형산교차로,49,47,47,47,52,50,48,48,48,48,48,48,48,48,0,48,48,48,48,48,46,49,49,48
동해안로,2023,4,24,송내동36722 > 형산교차로,49,49,49,49,48,49,48,49,49,49,49,49,49,49,0,49,49,49,49,46,47,45,41,48
동해안로,2023,4,25,송내동36722 > 형산교차로,46,46,48,49,47,48,47,48,48,48,48,47,48,48,0,47,48,48,48,46,47,46,46,45
동해안로,2023,4,26,송내동36722 > 형산교차로,48,48,49,50,48,48,46,49,49,47,49,49,49,49,0,48,48,48,48,46,46,47,46,48
동해안로,2023,4,27,송내동36722 > 형산교차로,47,49,48,48,48,48,50,49,43,48,47,46,46,48,0,48,48,48,47,46,46,46,46,50
동해안로,2023,4,28,송내동36722 > 형산교차로,48,46,46,49,49,49,46,47,49,48,48,48,48,47,0,48,48,47,45,46,44,47,44,47
동해안로,2023,4,29,송내동36722 > 형산교차로,48,49,48,49,49,48,46,47,48,46,48,47,48,46,0,48,46,48,48,47,48,46,45,46
동해안로,2023,4,30,송내동36722 > 형산교차로,48,48,48,49,47,50,48,49,49,49,48,49,48,49,0,49,48,49,49,47,47,53,47,46
새천년대로,2023,4,1,공대IC > 공대IC,59,61,64,65,65,65,61,62,60,58,55,57,57,59,0,60,60,57,53,55,58,58,59,65
새천년대로,2023,4,1,공대IC > 공대IC,45,42,44,44,44,42,40,39,42,34,29,33,33,31,0,27,27,23,24,31,46,28,29,34
새천년대로,2023,4,1,공대IC > 공대IC,67,63,61,62,61,59,60,61,60,60,57,59,56,54,0,58,58,59,56,57,57,63,70,68
새천년대로,2023,4,1,공대IC > 공대IC,55,60,66,64,62,58,56,57,64,55,52,50,48,43,0,44,44,46,51,51,45,55,65,69
새천년대로,2023,4,2,공대IC > 공대IC,60,60,59,63,64,65,62,65,60,61,59,59,57,57,0,59,57,54,54,56,58,59,59,60
새천년대로,2023,4,2,공대IC > 공대IC,39,44,44,43,43,43,43,44,42,39,39,34,31,32,0,31,33,32,23,31,30,39,40,40
새천년대로,2023,4,2,공대IC > 공대IC,65,66,65,63,63,63,62,60,62,58,58,59,58,58,0,58,60,59,58,53,57,56,57,60
새천년대로,2023,4,2,공대IC > 공대IC,62,55,60,59,59,59,52,54,59,49,42,41,48,47,0,48,43,43,50,49,58,59,63,63
새천년대로,2023,4,3,공대IC > 공대IC,60,57,58,58,59,60,57,59,57,57,57,56,52,57,0,58,57,53,53,54,55,60,58,59
새천년대로,2023,4,3,공대IC > 공대IC,43,41,40,39,34,33,34,34,33,33,32,31,30,33,0,28,29,28,23,30,32,34,32,32
새천년대로,2023,4,3,공대IC > 공대IC,66,61,54,55,58,61,60,60,57,58,60,59,58,59,0,56,58,57,54,51,57,53,61,65
새천년대로,2023,4,3,공대IC > 공대IC,60,60,60,60,60,61,56,49,57,54,52,49,46,44,0,46,46,44,49,48,50,63,62,60
새천년대로,2023,4,4,공대IC > 공대IC,61,60,63,66,64,65,63,61,62,60,59,59,57,57,0,56,55,52,53,55,56,56,59,60
새천년대로,2023,4,4,공대IC > 공대IC,31,45,46,51,49,49,43,35,35,30,32,34,36,33,0,30,31,28,23,28,28,30,43,41
새천년대로,2023,4,4,공대IC > 공대IC,63,61,59,59,57,55,58,59,59,61,59,62,59,61,0,60,60,56,55,53,60,61,60,63
새천년대로,2023,4,4,공대IC > 공대IC,58,56,58,57,56,54,53,50,53,52,48,49,48,48,0,45,48,46,53,51,55,53,56,51
새천년대로,2023,4,5,공대IC > 공대IC,61,60,60,60,62,61,62,63,62,61,59,58,57,58,0,59,57,55,55,56,57,56,58,56
