date,time,road,speed
1,17,3500007700-3500056400,35
1,18,3500007700-3500056400,33
1,19,3500007700-3500056400,35
1,17,3500007700-3500081900,35
1,18,3500007700-3500081900,33
1,19,3500007700-3500081900,35
3,17,3500007700-3500056400,36
3,18,3500007700-3500056400,38
3,19,3500007700-3500056400,38
3,17,3500007700-3500081900,36
3,18,3500007700-3500081900,38
3,19,3500007700-3500081900,38
4,17,3500007700-3500056400,34
4,18,3500007700-3500056400,35
4,19,3500007700-3500056400,37
4,17,3500007700-3500081900,34
4,18,3500007700-3500081900,35
4,19,3500007700-3500081900,37
5,17,3500007700-3500056400,31
5,18,3500007700-3500056400,31
5,19,3500007700-3500056400,36
5,17,3500007700-3500081900,31
5,18,3500007700-3500081900,31
5,19,3500007700-3500081900,36
6,17,3500007700-3500056400,34
6,18,3500007700-3500056400,38
6,19,3500007700-3500056400,40
6,17,3500007700-3500081900,34
6,18,3500007700-3500081900,38
6,19,3500007700-3500081900,40
7,17,3500007700-3500056400,37
7,18,3500007700-3500056400,37
7,19,3500007700-3500056400,38
7,17,3500007700-3500081900,37
7,18,3500007700-3500081900,37
7,19,3500007700-3500081900,38
8,17,3500007700-3500056400,32
8,18,3500007700-3500056400,30
8,19,3500007700-3500056400,38
8,17,3500007700-3500081900,32
8,18,3500007700-3500081900,30
8,19,3500007700-3500081900,38
9,17,3500007700-3500056400,34
9,18,3500007700-3500056400,33
9,19,3500007700-3500056400,36
9,17,3500007700-3500081900,34
9,18,3500007700-3500081900,33
9,19,3500007700-3500081900,36
10,17,3500007700-3500056400,36
10,18,3500007700-3500056400,33
10,19,3500007700-3500056400,39
10,17,3500007700-3500081900,36
10,18,3500007700-3500081900,33
10,19,3500007700-3500081900,39
11,17,3500007700-3500056400,35
11,18,3500007700-3500056400,36
11,19,3500007700-3500056400,39
11,17,3500007700-3500081900,35
11,18,3500007700-3500081900,36
11,19,3500007700-3500081900,39
12,17,3500007700-3500056400,34
12,18,3500007700-3500056400,33
12,19,3500007700-3500056400,36
12,17,3500007700-3500081900,34
12,18,3500007700-3500081900,33
12,19,3500007700-3500081900,36
13,17,3500007700-3500056400,38
13,18,3500007700-3500056400,36
13,19,3500007700-3500056400,42
13,17,3500007700-3500081900,38
13,18,3500007700-3500081900,36
13,19,3500007700-3500081900,42
14,17,3500007700-3500056400,36
14,18,3500007700-3500056400,35
14,19,3500007700-3500056400,42
14,17,3500007700-3500081900,36
14,18,3500007700-3500081900,35
14,19,3500007700-3500081900,42
15,17,3500007700-3500056400,34
15,18,3500007700-3500056400,34
15,19,3500007700-3500056400,37
15,17,3500007700-3500081900,34
15,18,3500007700-3500081900,34
15,19,3500007700-3500081900,37
16,17,3500007700-3500056400,36
16,18,3500007700-3500056400,35
16,19,3500007700-3500056400,35
16,17,3500007700-3500081900,36
16,18,3500007700-3500081900,35
16,19,3500007700-3500081900,35
17,17,3500007700-3500056400,37
17,18,3500007700-3500056400,34
17,19,3500007700-3500056400,38
17,17,3500007700-3500081900,37
17,18,3500007700-3500081900,34
17,19,3500007700-3500081900,38
18,17,3500007700-3500056400,38
18,18,3500007700-3500056400,36
18,19,3500007700-3500056400,36
18,17,3500007700-3500081900,38
18,18,3500007700-3500081900,36
18,19,3500007700-3500081900,36
19,17,3500007700-3500056400,34
19,18,3500007700-3500056400,32
19,19,3500007700-3500056400,38
19,17,3500007700-3500081900,34
19,18,3500007700-3500081900,32
19,19,3500007700-3500081900,38
20,17,3500007700-3500056400,35
20,18,3500007700-3500056400,36
20,19,3500007700-3500056400,37
20,17,3500007700-3500081900,35
20,18,3500007700-3500081900,36
20,19,3500007700-3500081900,37
21,17,3500007700-3500056400,38
21,18,3500007700-3500056400,38
21,19,3500007700-3500056400,40
21,17,3500007700-3500081900,38
21,18,3500007700-3500081900,38
21,19,3500007700-3500081900,40
