date,time,road,speed
1,20,3500007700-3500056400,39
1,21,3500007700-3500056400,39
1,22,3500007700-3500056400,38
1,20,3500007700-3500081900,39
1,21,3500007700-3500081900,39
1,22,3500007700-3500081900,38
3,20,3500007700-3500056400,39
3,21,3500007700-3500056400,38
3,22,3500007700-3500056400,38
3,20,3500007700-3500081900,39
3,21,3500007700-3500081900,38
3,22,3500007700-3500081900,38
4,20,3500007700-3500056400,41
4,21,3500007700-3500056400,39
4,22,3500007700-3500056400,40
4,20,3500007700-3500081900,41
4,21,3500007700-3500081900,39
4,22,3500007700-3500081900,40
5,20,3500007700-3500056400,38
5,21,3500007700-3500056400,39
5,22,3500007700-3500056400,43
5,20,3500007700-3500081900,38
5,21,3500007700-3500081900,39
5,22,3500007700-3500081900,43
6,20,3500007700-3500056400,40
6,21,3500007700-3500056400,43
6,22,3500007700-3500056400,44
6,20,3500007700-3500081900,40
6,21,3500007700-3500081900,43
6,22,3500007700-3500081900,44
7,20,3500007700-3500056400,40
7,21,3500007700-3500056400,41
7,22,3500007700-3500056400,41
7,20,3500007700-3500081900,40
7,21,3500007700-3500081900,41
7,22,3500007700-3500081900,41
8,20,3500007700-3500056400,41
8,21,3500007700-3500056400,39
8,22,3500007700-3500056400,36
8,20,3500007700-3500081900,41
8,21,3500007700-3500081900,39
8,22,3500007700-3500081900,36
9,20,3500007700-3500056400,38
9,21,3500007700-3500056400,44
9,22,3500007700-3500056400,46
9,20,3500007700-3500081900,38
9,21,3500007700-3500081900,44
9,22,3500007700-3500081900,46
10,20,3500007700-3500056400,41
10,21,3500007700-3500056400,40
10,22,3500007700-3500056400,41
10,20,3500007700-3500081900,41
10,21,3500007700-3500081900,40
10,22,3500007700-3500081900,41
11,20,3500007700-3500056400,42
11,21,3500007700-3500056400,40
11,22,3500007700-3500056400,40
11,20,3500007700-3500081900,42
11,21,3500007700-3500081900,40
11,22,3500007700-3500081900,40
12,20,3500007700-3500056400,42
12,21,3500007700-3500056400,41
12,22,3500007700-3500056400,46
12,20,3500007700-3500081900,42
12,21,3500007700-3500081900,41
12,22,3500007700-3500081900,46
13,20,3500007700-3500056400,42
13,21,3500007700-3500056400,39
13,22,3500007700-3500056400,46
13,20,3500007700-3500081900,42
13,21,3500007700-3500081900,39
13,22,3500007700-3500081900,46
14,20,3500007700-3500056400,43
14,21,3500007700-3500056400,39
14,22,3500007700-3500056400,45
14,20,3500007700-3500081900,43
14,21,3500007700-3500081900,39
14,22,3500007700-3500081900,45
15,20,3500007700-3500056400,40
15,21,3500007700-3500056400,39
15,22,3500007700-3500056400,37
15,20,3500007700-3500081900,40
15,21,3500007700-3500081900,39
15,22,3500007700-3500081900,37
16,20,3500007700-3500056400,38
16,21,3500007700-3500056400,42
16,22,3500007700-3500056400,42
16,20,3500007700-3500081900,38
16,21,3500007700-3500081900,42
16,22,3500007700-3500081900,42
17,20,3500007700-3500056400,41
17,21,3500007700-3500056400,41
17,22,3500007700-3500056400,43
17,20,3500007700-3500081900,41
17,21,3500007700-3500081900,41
17,22,3500007700-3500081900,43
18,20,3500007700-3500056400,37
18,21,3500007700-3500056400,41
18,22,3500007700-3500056400,44
18,20,3500007700-3500081900,37
18,21,3500007700-3500081900,41
18,22,3500007700-3500081900,44
19,20,3500007700-3500056400,42
19,21,3500007700-3500056400,40
19,22,3500007700-3500056400,40
19,20,3500007700-3500081900,42
19,21,3500007700-3500081900,40
19,22,3500007700-3500081900,40
20,20,3500007700-3500056400,40
20,21,3500007700-3500056400,42
20,22,3500007700-3500056400,45
20,20,3500007700-3500081900,40
20,21,3500007700-3500081900,42
20,22,3500007700-3500081900,45
21,20,3500007700-3500056400,44
21,21,3500007700-3500056400,45
21,22,3500007700-3500056400,48
21,20,3500007700-3500081900,44
21,21,3500007700-3500081900,45
21,22,3500007700-3500081900,48
22,20,3500007700-3500056400,40
22,21,3500007700-3500056400,39
22,22,3500007700-3500056400,40
22,20,3500007700-3500081900,40
22,21,3500007700-3500081900,39
22,22,3500007700-3500081900,40
23,20,3500007700-3500056400,44
23,21,3500007700-3500056400,44
23,22,3500007700-3500056400,43
23,20,3500007700-3500081900,44
23,21,3500007700-3500081900,44
23,22,3500007700-3500081900,43
25,20,3500007700-3500056400,42
25,21,3500007700-3500056400,41
25,22,3500007700-3500056400,41
25,20,3500007700-3500081900,42
25,21,3500007700-3500081900,41
25,22,3500007700-3500081900,41
26,20,3500007700-3500056400,39
26,21,3500007700-3500056400,44
26,22,3500007700-3500056400,47
26,20,3500007700-3500081900,39
26,21,3500007700-3500081900,44
26,22,3500007700-3500081900,47
27,20,3500007700-3500056400,41
27,21,3500007700-3500056400,42
27,22,3500007700-3500056400,44
27,20,3500007700-3500081900,41
27,21,3500007700-3500081900,42
27,22,3500007700-3500081900,44
28,20,3500007700-3500056400,42
28,21,3500007700-3500056400,43
28,22,3500007700-3500056400,43
28,20,3500007700-3500081900,42
28,21,3500007700-3500081900,43
28,22,3500007700-3500081900,43
29,20,3500007700-3500056400,39
29,21,3500007700-3500056400,40
29,22,3500007700-3500056400,42
29,20,3500007700-3500081900,39
29,21,3500007700-3500081900,40
29,22,3500007700-3500081900,42
30,20,3500007700-3500056400,39
30,21,3500007700-3500056400,38
30,22,3500007700-3500056400,42
30,20,3500007700-3500081900,39
30,21,3500007700-3500081900,38
30,22,3500007700-3500081900,42
1,20,3500081900-3500007700,47
1,21,3500081900-3500007700,49
1,22,3500081900-3500007700,48
3,20,3500081900-3500007700,47
3,21,3500081900-3500007700,45
3,22,3500081900-3500007700,47
4,20,3500081900-3500007700,46
4,21,3500081900-3500007700,44
4,22,3500081900-3500007700,44
5,20,3500081900-3500007700,43
5,21,3500081900-3500007700,49
5,22,3500081900-3500007700,48
6,20,3500081900-3500007700,49
6,21,3500081900-3500007700,51
6,22,3500081900-3500007700,46
7,20,3500081900-3500007700,44
7,21,3500081900-3500007700,45
7,22,3500081900-3500007700,44
8,20,3500081900-3500007700,45
8,21,3500081900-3500007700,47
8,22,3500081900-3500007700,44
9,20,3500081900-3500007700,47
