road,segment,id
희망대로,형산교차로 > 문화예술회관앞교차로,3500007700-3500007350;3500007350-3500007300
희망대로,문화예술회관앞교차로 > 시민볼링장앞교차로,3500007300-3500006650;3500006650-3500006800;3500006800-3500006660;3500006660-3500006600
희망대로,시민볼링장앞교차로 > 한전앞교차로,3500006600-3500006901;3500006901-3500006900;3500006900-3500007100
희망대로,한전앞교차로 > 대잠교차로,3500007100-3500007400;3500007400-3500007500
희망대로,대잠교차로 > 대잠고가차도,3500007500-3500059000
희망대로,대잠고가차도 > 대잠교차로,3500059000-3500007500
희망대로,대잠교차로 > 한전앞교차로,3500007500-3500007400;3500007400-3500007100
희망대로,한전앞교차로 > 시민볼링장앞교차로,3500007100-3500006900;3500006900-3500006901;3500006901-3500006600
희망대로,시민볼링장앞교차로 > 문화예술회관앞교차로,3500006600-3500006660;3500006660-3500006800;3500006800-3500006650;3500006650-3500007300
희망대로,문화예술회관앞교차로 > 형산교차로,3500007300-3500007350;3500007350-3500007700
포스코대로,에스포항병원앞 > 5호광장,3510334000-3510021750;3510021750-3510021700;3510021700-3510021500
포스코대로,5호광장 > 상공회의소사거리,3510021500-3510021400;3510021400-3500065800
포스코대로,상공회의소사거리 > 한국산업인력공단앞교차로,3500065800-3500065850;3500065850-3500062500
포스코대로,한국산업인력공단앞교차로 > 형산교차로,3500062500-3500062550;3500062550-3500007700
포스코대로,형산교차로 > 한국산업인력공단앞교차로,3500007700-3500062550;3500062550-3500062500
포스코대로,한국산업인력공단앞교차로 > 상공회의소사거리,3500062500-3500065850;3500065850-3500065800
포스코대로,상공회의소사거리 > 5호광장,3500065800-3510021400;3510021400-3510021500
포스코대로,5호광장 > 에스포항병원앞,3510021500-3510021700;3510021700-3510021750;3510021750-3510334000
동해안로,형산교차로 > 현대제철삼거리,3500007700-3500056400;3500007700-3500081900
동해안로,송내동36722 > 형산교차로,3500081900-3500007700
중앙로,형산교차로 > NH농협은행해도지점,3500007700-3500008200
중앙로,NH농협은행해도지점 > 형산교차로,3500008200-3500007700
새천년대로,공대IC > 예수비전교회,3500006300-3500006301
새천년대로,예수비전교회 > 효자삼거리,3500006301-3500006700
새천년대로,효자삼거리 > 대잠교차로,3500006700-3500007500
새천년대로,대잠교차로 > 세명고교입구교차로,3500007500-3500007900;3500007900-3500008000
새천년대로,세명고교입구교차로 > 르노삼성자동차포항대리점,3500008000-3510000200
새천년대로,르노삼성자동차포항대리점 > 에스포항병원앞,3510000200-3510000250;3510000250-3510000300
새천년대로,에스포항병원앞 > 현대차양학대리점앞,3510000300-3510000450;3510000450-3510000400;3510000400-3510000500
새천년대로,현대차양학대리점앞 > 에스포항병원앞,3510000500-3510000400;3510000400-3510000450;3510000450-3510000300
새천년대로,에스포항병원앞 > 르노삼성자동차포항대리점,3510000300-3510000250;3510000250-3510000200
새천년대로,르노삼성자동차포항대리점 > 세명고교입구교차로,3510000200-3500008000
새천년대로,세명고교입구교차로 > 대잠교차로,3500008000-3500007900;3500007900-3500007500
새천년대로,대잠교차로 > 효자삼거리,3500007500-3500006700
새천년대로,효자삼거리 > 예수비전교회,3500006700-3500006301
새천년대로,예수비전교회 > 공대IC,3500006301-3500006300
중흥로,남부경찰서사거리 > 한전앞교차로,3500051802-3500302300;3500302300-3500007100
중흥로,한전앞교차로 > 쌍용사거리,3500007100-3500058900;3500058900-3500060860;3500060860-3500060800;3500060800-3500060850;3500060850-3510021200
중흥로,쌍용사거리 > 5호광장,3510021200-3510021250;3510021250-3510021500
중흥로,5호광장 > 대구경북산업안전본부경북동부지사,3510021500-3510021800
중흥로,대구경북산업안전본부경북동부지사 > 5호광장,3510021800-3510021500
중흥로,5호광장 > 쌍용사거리,3510021500-3510021250;3510021250-3510021200
중흥로,쌍용사거리 > 한전앞교차로,3510021200-3500060850;3500060850-3500060800;3500060800-3500060860;3500060860-3500058900;3500058900-3500007100
중흥로,한전앞교차로 > 남부경찰서사거리,3500007100-3500302300;3500302300-3500051802
