road,year,month,day,interval,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
포스코대로,2023,4,1,포스코본사 > 현대제철,188,200,143,145,165,366,984,1452,1846,1436,1299,1179,1185,1557,1638,1838,1929,1902,2049,1438,875,811,587,390
포스코대로,2023,4,1,현대제철 > 포스코본사,196,157,115,107,166,671,1749,1260,1408,1134,1162,1100,1010,1041,1191,1111,1406,1757,1658,953,715,733,548,333
포스코대로,2023,4,1,포항운하관 > 형산오거리,17,24,21,14,31,112,213,143,140,138,178,228,269,324,358,255,225,232,319,141,100,107,90,41
포스코대로,2023,4,1,형산오거리 > 포항운하관,0,0,0,0,3,3,21,17,28,17,12,12,6,7,5,4,5,5,8,5,11,5,1,0
포스코대로,2023,4,1,남구청 > 형산오거리,13,14,6,5,18,17,71,80,166,177,213,224,234,255,271,280,273,329,322,182,103,92,59,32
포스코대로,2023,4,1,형산오거리 > 남구청,17,21,13,7,17,49,177,195,265,275,262,220,222,284,292,274,282,287,401,202,85,92,56,30
포스코대로,2023,4,1,KT포항지사 > 형산오거리,9,2,3,8,8,80,135,79,117,130,142,159,153,139,99,76,76,70,65,41,45,27,44,17
포스코대로,2023,4,1,형산오거리 > KT포항지사,57,45,48,45,41,113,255,527,615,513,477,384,380,523,600,663,714,743,759,616,329,328,234,168
포스코대로,2023,4,1,형산오거리 > 포스코1문,16,18,12,10,17,103,152,88,119,118,168,201,190,227,188,133,134,137,182,83,76,66,76,29
포스코대로,2023,4,1,등외과사거리 > 오거리,0,0,0,0,3,4,21,20,32,21,14,15,11,10,9,5,7,8,14,6,13,6,2,1
포스코대로,2023,4,1,오거리 > 등외과사거리,72,64,37,36,54,92,226,200,271,230,344,480,484,544,557,554,602,698,690,412,253,227,171,123
포스코대로,2023,4,1,여성병원 > 5호광장,0,0,0,0,0,0,0,0,154,1348,1195,0,571,1168,1347,1256,1363,1424,1274,742,564,508,471,218
포스코대로,2023,4,1,5호광장 > 여성병원,0,0,0,0,0,0,0,0,68,683,721,0,368,756,918,1025,1195,1243,1160,809,525,522,373,248
포스코대로,2023,4,1,시외버스터미널방면 > 5호광장,0,0,0,0,0,0,0,0,57,519,517,0,285,650,624,678,706,739,625,409,302,312,222,157
포스코대로,2023,4,1,5호광장 > 시외버스터미널방면,0,0,0,0,0,0,0,0,51,456,433,0,271,620,624,601,589,699,610,375,294,285,221,117
포스코대로,2023,4,1,방장산터널 > 이동농협사거리,0,0,0,0,0,0,0,0,73,706,818,0,418,868,849,895,996,1029,1128,659,472,407,307,157
포스코대로,2023,4,1,이동농협사거리 > 방장산터널,0,0,0,0,0,0,0,0,58,639,564,0,261,582,682,674,726,797,754,465,426,361,281,164
포스코대로,2023,4,1,제철고 > 이동사거리,0,0,0,0,0,0,0,0,61,611,481,0,248,555,572,518,614,599,742,408,340,296,247,122
포스코대로,2023,4,1,이동사거리 > 제철고,0,0,0,0,0,0,0,0,22,156,124,0,49,96,113,156,223,235,293,255,160,134,93,42
포스코대로,2023,4,1,S병원 > 이동사거리,0,0,0,0,0,0,0,0,100,822,716,0,370,853,860,851,904,905,837,625,404,398,252,150
포스코대로,2023,4,1,이동사거리 > S병원,0,0,0,0,0,0,0,0,79,837,759,0,386,797,884,973,971,1114,1239,689,503,435,332,191
포스코대로,2023,4,1,중앙하이츠 > 이동사거리,0,0,0,0,0,0,0,0,79,757,642,0,339,686,795,959,995,1242,1377,908,632,515,343,195
포스코대로,2023,4,1,이동사거리 > 중앙하이츠,0,0,0,0,0,0,0,0,128,963,820,0,413,962,884,873,977,1027,1033,636,478,460,310,174
포스코대로,2023,4,2,포스코본사 > 현대제철,229,167,171,123,153,353,1048,1575,1918,1604,1384,1471,1398,1730,1845,1931,2376,2525,2672,1645,1059,1709,953,481
포스코대로,2023,4,2,현대제철 > 포스코본사,173,134,132,124,180,804,2253,2302,1858,1401,1406,1393,1360,1451,1455,1324,1494,1783,1963,1201,805,771,662,298
포스코대로,2023,4,2,포항운하관 > 형산오거리,12,5,15,12,14,87,232,344,281,185,249,255,310,327,335,291,275,289,311,97,75,79,60,27
포스코대로,2023,4,2,형산오거리 > 포항운하관,1,0,0,1,0,10,22,28,19,12,12,9,8,6,11,10,5,19,10,4,9,2,6,2
포스코대로,2023,4,2,남구청 > 형산오거리,20,18,6,8,16,31,113,145,279,212,215,257,281,281,313,287,317,420,360,195,137,139,100,40
포스코대로,2023,4,2,형산오거리 > 남구청,21,9,15,8,20,51,287,349,367,322,285,338,308,326,406,337,482,542,534,221,136,161,115,16
포스코대로,2023,4,2,KT포항지사 > 형산오거리,9,3,8,5,10,83,236,177,165,198,176,202,186,173,170,148,117,86,96,51,40,57,47,16
포스코대로,2023,4,2,형산오거리 > KT포항지사,84,61,48,31,37,112,304,545,701,595,500,539,459,645,721,732,920,1116,1194,796,428,573,494,210
포스코대로,2023,4,2,형산오거리 > 포스코1문,30,20,25,27,44,195,477,527,487,401,414,412,493,514,466,450,406,422,465,199,136,157,151,54
포스코대로,2023,4,2,등외과사거리 > 오거리,2,0,0,1,0,13,25,30,26,13,13,13,10,9,12,17,8,24,12,7,10,5,7,3
포스코대로,2023,4,2,오거리 > 등외과사거리,91,66,52,43,49,89,250,320,557,456,437,569,544,568,648,652,712,963,939,470,328,333,249,136
포스코대로,2023,4,2,여성병원 > 5호광장,163,115,80,82,137,507,1349,1355,1840,1350,621,0,0,0,0,0,0,0,0,0,0,0,0,0
포스코대로,2023,4,2,5호광장 > 여성병원,129,71,69,53,43,181,664,811,1066,822,388,0,0,0,0,0,0,0,0,0,0,0,0,0
포스코대로,2023,4,2,시외버스터미널방면 > 5호광장,143,109,91,65,60,100,255,359,651,510,250,0,0,0,0,0,0,0,0,0,0,0,0,0
포스코대로,2023,4,2,5호광장 > 시외버스터미널방면,120,81,53,43,68,81,247,344,567,452,246,0,0,0,0,0,0,0,0,0,0,0,0,0
포스코대로,2023,4,2,방장산터널 > 이동농협사거리,120,70,46,49,67,175,420,873,1308,893,426,0,0,0,0,0,0,0,0,0,0,0,0,0
포스코대로,2023,4,2,이동농협사거리 > 방장산터널,113,65,32,37,56,114,260,482,950,628,295,0,0,0,0,0,0,0,0,0,0,0,0,0
포스코대로,2023,4,2,제철고 > 이동사거리,72,48,11,17,69,251,608,629,953,669,284,0,0,0,0,0,0,0,0,0,0,0,0,0
포스코대로,2023,4,2,이동사거리 > 제철고,22,9,9,6,17,31,85,212,218,147,62,0,0,0,0,0,0,0,0,0,0,0,0,0
포스코대로,2023,4,2,S병원 > 이동사거리,71,53,36,34,54,188,551,752,1239,839,413,0,0,0,0,0,0,0,0,0,0,0,0,0
포스코대로,2023,4,2,이동사거리 > S병원,93,38,31,32,86,169,441,760,1033,915,425,0,0,0,0,0,0,0,0,0,0,0,0,0
포스코대로,2023,4,2,중앙하이츠 > 이동사거리,98,41,37,28,70,140,409,756,987,793,375,0,0,0,0,0,0,0,0,0,0,0,0,0
포스코대로,2023,4,2,이동사거리 > 중앙하이츠,104,61,37,38,76,360,1048,1060,1582,988,472,0,0,0,0,0,0,0,0,0,0,0,0,0
포스코대로,2023,4,3,포스코본사 > 현대제철,226,141,109,89,130,300,848,1449,1838,1515,1436,1519,1375,1595,1691,1882,2116,2364,2274,1025,770,662,518,0
포스코대로,2023,4,3,현대제철 > 포스코본사,136,102,81,78,86,179,1332,2182,1387,1182,1117,1148,1093,1157,838,1157,1147,1324,1195,565,576,604,537,0
포스코대로,2023,4,3,포항운하관 > 형산오거리,15,5,9,8,10,56,238,400,331,228,188,180,196,200,218,199,169,163,129,35,26,38,32,0
포스코대로,2023,4,3,형산오거리 > 포항운하관,0,0,0,0,2,1,17,17,9,5,3,2,5,3,4,5,8,16,12,2,7,2,4,0
포스코대로,2023,4,3,남구청 > 형산오거리,22,16,6,7,14,25,114,138,262,214,221,260,246,270,261,279,306,368,290,95,56,49,39,0
포스코대로,2023,4,3,형산오거리 > 남구청,13,10,9,2,15,43,217,315,279,295,254,313,232,296,287,273,333,374,335,159,61,31,25,0
포스코대로,2023,4,3,KT포항지사 > 형산오거리,9,2,3,3,7,28,168,165,135,155,122,124,139,101,110,107,117,115,69,19,14,16,23,0
포스코대로,2023,4,3,형산오거리 > KT포항지사,94,57,25,28,40,94,242,538,671,605,555,626,497,561,611,714,826,1131,1057,602,324,285,179,0
포스코대로,2023,4,3,형산오거리 > 포스코1문,25,16,8,13,23,58,402,618,473,366,296,263,329,322,332,323,270,271,198,37,57,94,79,0
포스코대로,2023,4,3,등외과사거리 > 오거리,0,0,0,0,2,1,17,17,9,5,3,2,5,3,4,5,9,16,13,2,7,2,5,0
포스코대로,2023,4,3,오거리 > 등외과사거리,81,57,45,32,43,81,233,330,543,486,485,553,483,518,547,604,686,791,656,273,185,155,103,0
포스코대로,2023,4,3,여성병원 > 5호광장,0,0,0,0,0,0,0,0,0,419,1129,0,181,968,1018,1037,792,1198,1090,656,501,455,393,0
포스코대로,2023,4,3,5호광장 > 여성병원,0,0,0,0,0,0,0,0,0,283,833,0,150,825,934,1121,1125,1447,1230,384,331,268,235,0
포스코대로,2023,4,3,시외버스터미널방면 > 5호광장,0,0,0,0,0,0,0,0,0,128,426,0,65,489,500,553,556,657,614,314,283,259,201,0
포스코대로,2023,4,3,5호광장 > 시외버스터미널방면,0,0,0,0,0,0,0,0,0,159,424,0,67,375,389,478,325,549,548,268,251,262,210,0
포스코대로,2023,4,3,방장산터널 > 이동농협사거리,0,0,0,0,0,0,0,0,0,278,814,0,102,972,904,1077,1085,1172,1091,604,424,357,276,0
