road,segment,id,ratio
포스코대로,포항운하관 > 형산오거리,3500066400-3500007700,1
포스코대로,형산오거리 > 포항운하관,3500007700-3500066400,1
포스코대로,남구청 > 형산오거리,3500007350-3500007700,1
포스코대로,형산오거리 > 남구청,3500007700-3500007350,1
포스코대로,KT포항지사 > 형산오거리,3500062550-3500007700,1
포스코대로,형산오거리 > KT포항지사,3500007700-3500062550,1
포스코대로,형산오거리 > 포스코1문,3500007700-3500081900;3500007700-3500056400,0.25;0.75
포스코대로,여성병원 > 5호광장,3510021700-3510021500,1
포스코대로,5호광장 > 여성병원,3510021500-3510021700,1
포스코대로,시외버스터미널방면 > 5호광장,3510021250-3510021500,1
포스코대로,5호광장 > 시외버스터미널방면,3510021500-3510021250,1
포스코대로,방장산터널 > 이동농협사거리,3510021750-3510334000;3510000450-3510000451,0.9;0.1
포스코대로,이동농협사거리 > 방장산터널,3510334000-3510021750;3510000251-3510000250,0.9;0.1
