road,year,month,day,interval,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
희망대로,2023,4,1,대잠사거리 > 한전사거리,69,68,35,34,72,334,743,945,1422,1028,997,951,862,898,924,884,980,1054,1029,611,424,405,298,156
희망대로,2023,4,1,한전사거리 > 대잠사거리,87,52,41,36,59,118,383,396,714,815,890,945,871,1001,918,976,1059,1339,1168,641,396,366,220,129
희망대로,2023,4,1,섬안사거리 > 한전사거리,52,40,33,21,37,85,347,264,482,618,708,810,768,860,800,824,907,1122,1005,503,283,253,165,83
희망대로,2023,4,1,한전사거리 > 섬안사거리,76,57,43,32,79,429,1156,1150,1218,889,783,747,741,930,895,794,867,911,848,538,373,386,275,121
희망대로,2023,4,1,시외버스터미널 > 한전사거리,133,78,58,56,70,237,739,785,683,619,632,673,645,768,702,669,661,668,693,557,447,417,296,169
희망대로,2023,4,1,한전사거리 > 시외버스터미널,96,84,55,34,53,114,313,457,966,905,858,839,761,782,835,791,876,939,866,583,450,377,278,176
희망대로,2023,4,2,대잠사거리 > 한전사거리,69,57,41,47,72,475,1358,1301,1374,1026,884,956,890,860,795,849,890,1054,1166,584,488,440,353,163
희망대로,2023,4,2,한전사거리 > 대잠사거리,90,67,42,51,68,113,441,710,914,819,864,950,969,951,1061,1088,1223,1636,1520,859,462,478,360,141
희망대로,2023,4,2,섬안사거리 > 한전사거리,54,36,36,29,46,80,412,651,742,681,757,823,860,862,976,1007,1096,1434,1349,657,316,343,271,76
희망대로,2023,4,2,한전사거리 > 섬안사거리,82,57,45,48,89,581,1947,1771,1368,1036,829,816,843,867,790,815,757,917,1061,552,430,425,327,144
희망대로,2023,4,2,시외버스터미널 > 한전사거리,133,100,68,72,70,240,1043,1067,803,789,709,719,772,814,759,753,765,748,777,591,474,431,350,168
희망대로,2023,4,2,한전사거리 > 시외버스터미널,111,66,66,51,44,130,562,524,925,800,712,767,752,776,786,776,924,969,904,558,425,381,291,176
희망대로,2023,4,3,대잠사거리 > 한전사거리,106,56,39,31,76,301,1085,1080,1240,899,788,775,747,829,745,718,752,877,899,432,364,305,226,0
희망대로,2023,4,3,한전사거리 > 대잠사거리,51,33,26,16,20,43,215,573,692,725,740,826,810,729,649,909,1021,1338,835,295,290,267,198,0
희망대로,2023,4,3,섬안사거리 > 한전사거리,19,23,13,3,19,24,159,524,499,611,615,642,616,578,438,716,821,1092,631,232,187,178,157,0
희망대로,2023,4,3,한전사거리 > 섬안사거리,80,59,34,30,74,311,1388,1473,1228,952,774,664,692,861,713,664,672,762,707,309,317,314,227,0
